,0,1
0,team,average_team_Score
1,England,236.365448505
2,Africa XI,328.333333333
3,Bermuda,200.416666667
4,Afghanistan,198.462962963
5,Sri Lanka,214.067647059
6,New Zealand,224.038910506
7,Bangladesh,212.53030303
8,Australia,233.501510574
9,United Arab Emirates,217.904761905
10,India,231.302670623
11,Ireland,211.333333333
12,South Africa,226.670250896
13,Netherlands,192.590909091
14,Pakistan,215.832727273
15,West Indies,211.228215768
16,Kenya,195.642857143
17,Zimbabwe,208.0
18,Scotland,194.595238095
19,Papua New Guinea,177.0
20,Canada,205.555555556
21,Hong Kong,210.545454545
22,Asia XI,302.333333333
